bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
1849,Wild Fire (John Corey  #4),Nelson DeMille,4.01,044657967X,9780446579674,eng,519,20909,944,11/6/2006,Warner Books (NY)
4135,I Like You: Hospitality Under the Influence,Amy Sedaris,3.88,0446578843,9780446578844,eng,304,37258,1401,10/16/2006,Warner Books (NY)
4683,Personal Injuries (Kindle County Legal Thriller #5),Scott Turow,3.86,0446608602,9780446608602,eng,528,5163,179,12/1/2000,Warner Books (NY)
4685,One L: The Turbulent True Story of a First Year at Harvard Law School,Scott Turow,3.67,0446673781,9780446673785,eng,288,6093,447,9/1/1997,Warner Books (NY)
5526,Dear John,Nicholas Sparks,4.03,0446528056,9780446528054,eng,276,502726,9645,10/30/2006,Warner Books (NY)
7748,Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,4.12,0446698229,9780446698221,eng,481,17227,662,10/1/2006,Warner Books (NY)
13062,Skin Tight (Mick Stranahan  #1),Carl Hiaasen,3.96,0446695696,9780446695695,en-US,420,14475,571,4/12/2005,Warner Books (NY)
13064,Tourist Season,Carl Hiaasen,3.94,0446695718,9780446695718,eng,404,15459,669,5/9/2005,Warner Books (NY)
13104,The Celestine Prophecy: A Pocket Guide to the Nine Insights,James Redfield,3.87,0446912069,9780446912068,eng,68,1256,100,12/2/2005,Warner Books (NY)
21782,Heat,William Goldman,3.37,0446300004,9780446300001,eng,244,242,17,9/1/1986,Warner Books (NY)
21841,The Protector (Cavanaugh #1),David Morrell,3.94,0446530689,9780446530682,eng,401,2222,80,5/19/2003,Warner Books (NY)
30068,The Book of the Dead (Pendergast  #7; Diogenes  #3),Douglas Preston/Lincoln Child,4.13,0446576980,9780446576987,eng,454,27050,947,8/14/2006,Warner Books (NY)
30415,Tempest in Eden,Sandra Brown,3.48,0446616818,9780446616812,eng,229,1560,57,4/1/2005,Warner Books (NY)
32502,Angels Flight (Harry Bosch  #6; Harry Bosch Universe  #7),Michael Connelly,4.18,0446607274,9780446607278,eng,454,33730,1309,1/5/2000,Warner Books (NY)
34771,Red Phoenix,Larry Bond,4.02,0751504351,9780751504354,en-US,791,26,2,4/25/1995,Warner Books (NY)
39904,Chocolate and the Art of Low-Fat Desserts,Alice Medrich,4.00,044651666X,9780446516662,eng,192,38,1,10/28/1994,Warner Books (NY)
39905,A Year in Chocolate: Four Seasons of Unforgettable Desserts,Alice Medrich,3.74,0446526649,9780446526647,eng,152,28,1,10/24/2001,Warner Books (NY)
40214,Kushiel's Scion (Imriel's Trilogy  #1),Jacqueline Carey,4.20,044650002X,9780446500029,en-US,753,454,37,6/12/2006,Warner Books (NY)
41394,The Serial Killers Club,Jeff Povey,3.22,0446578428,9780446578424,eng,279,109,25,6/22/2006,Warner Books (NY)
42772,Real Estate Loopholes: Secrets of Successful Real Estate Investing,Diane  Kennedy/Garrett Sutton/Robert T. Kiyosaki,4.15,0446691356,9780446691352,eng,240,721,9,12/31/2003,Warner Books (NY)
42777,Hope is the Thing with Feathers: A Personal Chronicle of Vanished Birds,Christopher Cokinos,4.22,0446677493,9780446677493,eng,384,308,33,4/1/2001,Warner Books (NY)
